Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,UGCT7525AN4,1,Buzzer,
C1,0603,1,10uF,
"C2, C3, C4, C5",0603,4,0.1uF,
D1,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,FDD ACCESS,
D2,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,1,FDD EJECT,
D3,D_SOD-123F,1,D_Schottky,
J1,PinHeader_2x17_P2.54mm_Horizontal_Mirror,1,Conn_02x17_Odd_Even,
J2,PinSocket_2x17_P2.54mm_Horizontal_Mirror,1,Conn_02x17_Odd_Even,
J3,TE_AMP_171826-4,1,Conn_01x04,
J4,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,Conn_01x04,
J5,PinHeader_1x02_P2.54mm_Vertical,1,SDIO,
J6,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
J7,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
P1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,
Q1,SOT-323_SC-70,1,2SC4213,
"R0, R1, R10, R11, R12, R13, R2, R3, R5, R6, R7",0603,11,1K,
"R20, R21, R22, R24, R25, R26, R27",0603,7,10K,
"R31, R32",0603,2,5.1k,
SW1,SW_DIP_SPSTx02_Slide_Copal_CHS-02A_W5.08mm_P1.27mm_JPin,1,SW_DIP_x02,
SW2,PinHeader_1x03_P2.54mm_Vertical,1,SW_SPDT,
"TP1, TP2, TP3, TP4",TestPoint_Pad_1.0x1.0mm,4,TestPoint,
U1,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias,1,CH32V003F4U6,
"U4, U5",SO-16_5.3x10.2mm_P1.27mm,2,74HC153,
U6,SOP-16_3.9x9.9mm_P1.27mm,1,ULN2003A,
